"NE Name","Slot ID","Board Name","Port","Input Power(dBm)","Reference Input Power(dBm)","Input Power Reference Value Time","Input Power State","Reference Input Power Lower Threshold(dBm)","Reference Input Power Upper Threshold(dBm)","Input Power Lower Threshold(dBm)","Min. Value of Input Power Lower Threshold(dBm)","Max. Value of Input Power Lower Threshold(dBm)","Input Power Upper Threshold(dBm)","Min. Value of Input Power Upper Threshold(dBm)","Max. Value of Input Power Upper Threshold(dBm)","Max. Pump Output Power(dBm)","Min. Pump Output Power(dBm)","Output Power(dBm)","Reference Output Power(dBm)","Output Power Reference Value Time","Output Power State","Output Power Lower Threshold(dBm)","Output Power Upper Threshold(dBm)","Reference Output Power Lower Threshold(dBm)","Reference Output Power Upper Threshold(dBm)","Input Power Lower Threshold Default Value(dBm)","Input Power Upper Threshold Default Value(dBm)","CFP/LANE Input Power Lower Threshold Default Value(dBm)","CFP/LANE Input Power Upper Threshold Default Value(dBm)"
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-3,12M40,1(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-9.1",/,/,/,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-6,11AST2,1(RM1/TM1 (TO LAS VEGAS ATT 7dB)),"	-21.6","	-19.0",2020-05-15 16:14:09,Warning Alert,"	-22.0","	-14.0","	-42.2","	-46.2","	-9.0","	-10.0","	-46.2","	-9.0",-,-,2.7,/,/,/,0.6,5.0,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-6,11AST2,2(RM2/TM2 (TO VILLA ALEM ATT 10dB)),"	-20.1","	-19.6",2020-05-15 16:14:09,Normal,"	-22.6","	-14.6","	-42.0","	-46.0","	-9.0","	-10.0","	-46.0","	-9.0",-,-,2.6,/,/,/,0.6,5.0,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-7,13OAU1,1(IN),"	-20.8","	-21.8",2021-02-16 05:21:56 DST,Normal,"	-24.8","	-16.8","	-32.0","	-60.0",0.0,3.0,"	-60.0",7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-7,13OAU1,2(PAOUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-6.1","	-7.1",2021-02-16 05:21:56 DST,Normal,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-7,13OAU1,3(BAIN),"	-15.4","	-16.4",2021-02-16 05:21:56 DST,Normal,-,-,"	-32.0","	-60.0",0.0,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-7,13OAU1,4(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.4,2.6,2021-02-16 05:21:56 DST,Normal,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-8,15WSMD9,1(IN/OUT),7.7,/,/,/,/,/,"	-25.0",-,-,24.0,-,-,-,-,"	-21.8","	-17.3",2019-08-19 16:34:23,Critical Alert,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-13,13OAU1,1(IN),"	-20.8","	-23.9",2021-02-16 05:20:21 DST,Warning Alert,"	-27.9","	-18.9","	-32.0","	-60.0",0.0,3.0,"	-60.0",7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-13,13OAU1,2(PAOUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-1.8","	-6.4",2021-02-16 05:20:21 DST,Critical Alert,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-13,13OAU1,3(BAIN),"	-6.5","	-11.2",2021-02-16 05:20:21 DST,Critical Alert,-,-,"	-32.0","	-60.0",0.0,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-
