"NE Name","Slot ID","Board Name","Port","Input Power(dBm)","Reference Input Power(dBm)","Input Power Reference Value Time","Input Power State","Reference Input Power Lower Threshold(dBm)","Reference Input Power Upper Threshold(dBm)","Input Power Lower Threshold(dBm)","Min. Value of Input Power Lower Threshold(dBm)","Max. Value of Input Power Lower Threshold(dBm)","Input Power Upper Threshold(dBm)","Min. Value of Input Power Upper Threshold(dBm)","Max. Value of Input Power Upper Threshold(dBm)","Max. Pump Output Power(dBm)","Min. Pump Output Power(dBm)","Output Power(dBm)","Reference Output Power(dBm)","Output Power Reference Value Time","Output Power State","Output Power Lower Threshold(dBm)","Output Power Upper Threshold(dBm)","Reference Output Power Lower Threshold(dBm)","Reference Output Power Upper Threshold(dBm)","Input Power Lower Threshold Default Value(dBm)","Input Power Upper Threshold Default Value(dBm)","CFP/LANE Input Power Lower Threshold Default Value(dBm)","CFP/LANE Input Power Upper Threshold Default Value(dBm)"
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-13,13OAU1,4(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.9,5.6,2021-02-16 05:20:21 DST,Warning Alert,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-14,13OBU1,1(IN),"	-21.0","	-23.2",2021-02-16 05:18:44 DST,Warning Alert,"	-26.2","	-18.2","	-32.0",-,-,"	-0.2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-14,13OBU1,2(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.2,1.9,2021-02-16 05:18:44 DST,Normal,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf0(To Villa Alemana)-15,12D40,1(IN),3.2,/,/,/,/,/,"	-25.0",-,-,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf1(To Las Vegas)-2,13OAU1,1(IN),"	-15.3",/,/,/,/,/,"	-32.0","	-60.0",0.0,3.0,"	-60.0",7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf1(To Las Vegas)-2,13OAU1,2(PAOUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-3.4",/,/,/,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf1(To Las Vegas)-2,13OAU1,3(BAIN),"	-15.1",/,/,/,-,-,"	-32.0","	-60.0",0.0,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf1(To Las Vegas)-2,13OAU1,4(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.3,/,/,/,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf1(To Las Vegas)-3,15WSMD9,1(IN/OUT),2.4,/,/,/,/,/,"	-25.0",-,-,24.0,-,-,-,-,"	-15.0",/,/,/,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf1(To Las Vegas)-5,12M40,1(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-8.3",/,/,/,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf1(To Las Vegas)-13,13OBU1,1(IN),"	-22.7",/,/,/,/,/,"	-32.0",-,-,"	-0.2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf1(To Las Vegas)-13,13OBU1,2(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.7,/,/,/,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf1(To Las Vegas)-14,12D40,1(IN),2.2,/,/,/,/,/,"	-25.0",-,-,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf1(To Las Vegas)-16,13OAU1,1(IN),"	-19.1",/,/,/,/,/,"	-32.0","	-60.0",0.0,3.0,"	-60.0",7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf1(To Las Vegas)-16,13OAU1,2(PAOUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-6.9",/,/,/,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf1(To Las Vegas)-16,13OAU1,3(BAIN),"	-19.5",/,/,/,-,-,"	-32.0","	-60.0",0.0,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf1(To Las Vegas)-16,13OAU1,4(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,/,/,/,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf2(Dimenision Local)-1,12M40,1(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-60.0",/,/,/,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf2(Dimenision Local)-3,13OBU1,1(IN),"	-60.0",/,/,/,/,/,"	-32.0",-,-,"	-0.2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf2(Dimenision Local)-3,13OBU1,2(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-60.0",0.8,2019-08-19 16:31:36,Critical Alert,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf2(Dimenision Local)-4,15WSMD9,1(IN/OUT),"	-60.0",0.8,2019-08-19 16:31:55,Critical Alert,"	-2.2",5.8,"	-25.0",-,-,24.0,-,-,-,-,"	-60.0",/,/,/,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf2(Dimenision Local)-14,13OBU1,1(IN),"	-60.0",/,/,/,/,/,"	-32.0",-,-,"	-0.2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf2(Dimenision Local)-14,13OBU1,2(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-60.0",/,/,/,-,-,-,-,-,-,-,-
QLLTAPCS-WDM-CM03 OTN1,Shelf2(Dimenision Local)-15,12D40,1(IN),"	-60.0",/,/,/,/,/,"	-25.0",-,-,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-3,12M40,1(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-7.2",/,/,/,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-6,11AST2,1(RM1/TM1 (TO QUILLOTA)),"	-13.8","	-12.4",2020-05-04 11:54:43,Normal,"	-15.4","	-7.4","	-41.8","	-45.8","	-9.0","	-10.0","	-45.8","	-9.0",-,-,2.5,/,/,/,0.5,5.0,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-6,11AST2,2(RM2/TM2),"	-60.0",/,/,/,/,/,"	-42.0","	-46.0","	-9.0","	-10.0","	-46.0","	-9.0",-,-,2.5,/,/,/,0.5,5.0,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-7,13OAU1,1(IN),"	-17.5",/,/,/,/,/,"	-32.0","	-60.0",0.0,3.0,"	-60.0",7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-7,13OAU1,2(PAOUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-5.0",/,/,/,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-7,13OAU1,3(BAIN),"	-17.1",/,/,/,-,-,"	-32.0","	-60.0",0.0,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-7,13OAU1,4(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.5,/,/,/,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-8,15WSMD9,1(IN/OUT),4.5,/,/,/,/,/,"	-25.0",-,-,24.0,-,-,-,-,"	-17.8",/,/,/,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-13,13OAU1,1(IN),"	-15.8",/,/,/,/,/,"	-32.0","	-60.0",0.0,3.0,"	-60.0",7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-13,13OAU1,2(PAOUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-3.6",/,/,/,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-13,13OAU1,3(BAIN),"	-16.2",/,/,/,-,-,"	-32.0","	-60.0",0.0,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-13,13OAU1,4(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8,/,/,/,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-14,13OBU1,1(IN),"	-21.3",/,/,/,/,/,"	-32.0",-,-,"	-0.2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-14,13OBU1,2(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.8,/,/,/,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf0(Direccion Quillota SW)-15,12D40,1(IN),3.0,/,/,/,/,/,"	-25.0",-,-,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf1(Dimension Local)-1,12M40,1(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-60.0",/,/,/,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf1(Dimension Local)-3,13OBU1,1(IN),"	-60.0",/,/,/,/,/,"	-32.0",-,-,"	-0.2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf1(Dimension Local)-3,13OBU1,2(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-60.0",/,/,/,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf1(Dimension Local)-4,15WSMD9,1(IN/OUT),"	-60.0",/,/,/,/,/,"	-25.0",-,-,24.0,-,-,-,-,"	-60.0",/,/,/,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf1(Dimension Local)-14,13OBU1,1(IN),"	-60.0",/,/,/,/,/,"	-32.0",-,-,"	-0.2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf1(Dimension Local)-14,13OBU1,2(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-60.0",/,/,/,-,-,-,-,-,-,-,-
LVEGAS-WDM-CM03 OTN1,Shelf1(Dimension Local)-15,12D40,1(IN),"	-60.0",/,/,/,/,/,"	-25.0",-,-,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf0(Direccion Quilpue PCS)-3,12M40,1(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-4.6",/,/,/,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf0(Direccion Quilpue PCS)-6,11AST2,1(RM1/TM1 (TO QUILPUE ATT 10dB)),"	-16.8","	-16.8",2020-05-14 16:32:23,Normal,"	-19.8","	-11.8","	-42.0","	-46.0","	-9.0","	-10.0","	-46.0","	-9.0",-,-,2.6,/,/,/,0.5,5.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf0(Direccion Quilpue PCS)-6,11AST2,2(RM2/TM2 (TO QUILLOTA ATT 5dB)),"	-16.6","	-18.1",2020-05-14 16:32:23,Normal,"	-21.1","	-13.1","	-42.0","	-46.0","	-9.0","	-10.0","	-46.0","	-9.0",-,-,2.6,/,/,/,0.6,5.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf0(Direccion Quilpue PCS)-7,15WSMD9,1(IN/OUT),6.2,/,/,/,/,/,"	-25.0",-,-,24.0,-,-,-,-,"	-14.1",/,/,/,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf0(Direccion Quilpue PCS)-13,13OAU1,1(IN),"	-19.4",/,/,/,/,/,"	-32.0","	-60.0",0.0,3.0,"	-60.0",7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf0(Direccion Quilpue PCS)-13,13OAU1,2(PAOUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-3.0",/,/,/,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf0(Direccion Quilpue PCS)-13,13OAU1,3(BAIN),"	-10.8",/,/,/,-,-,"	-32.0","	-60.0",0.0,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf0(Direccion Quilpue PCS)-13,13OAU1,4(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.5,/,/,/,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf0(Direccion Quilpue PCS)-14,13OBU1,1(IN),"	-19.9",/,/,/,/,/,"	-32.0",-,-,"	-0.2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf0(Direccion Quilpue PCS)-14,13OBU1,2(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.8,/,/,/,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf0(Direccion Quilpue PCS)-15,12D40,1(IN),3.5,/,/,/,/,/,"	-25.0",-,-,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf1(Direccion Quillota SW)-1,12M40,1(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-5.0",/,/,/,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf1(Direccion Quillota SW)-5,15WSMD9,1(IN/OUT),5.0,/,/,/,/,/,"	-25.0",-,-,24.0,-,-,-,-,"	-10.8",/,/,/,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf1(Direccion Quillota SW)-13,13OAU1,1(IN),"	-15.2","	-16.0",2021-02-16 05:24:18 DST,Normal,"	-19.0","	-11.0","	-32.0","	-60.0",0.0,3.0,"	-60.0",7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf1(Direccion Quillota SW)-13,13OAU1,2(PAOUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,"	-2.0","	-2.8",2021-02-16 05:24:18 DST,Normal,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf1(Direccion Quillota SW)-13,13OAU1,3(BAIN),"	-14.2","	-15.1",2021-02-16 05:24:18 DST,Normal,-,-,"	-32.0","	-60.0",0.0,/,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf1(Direccion Quillota SW)-13,13OAU1,4(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.6,4.9,2021-02-16 05:24:18 DST,Normal,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf1(Direccion Quillota SW)-14,13OBU1,1(IN),"	-22.8","	-23.5",2021-02-16 05:25:11 DST,Normal,"	-26.5","	-18.5","	-32.0",-,-,"	-0.2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf1(Direccion Quillota SW)-14,13OBU1,2(OUT),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,1.2,2021-02-16 05:25:11 DST,Normal,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 OTN1,Shelf1(Direccion Quillota SW)-15,12D40,1(IN),1.3,/,/,/,/,/,"	-25.0",-,-,22.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-1,58NS4,1(IN/OUT A QUILLOTA SW),"	-6.8","	-6.4",2021-02-16 05:22:45 DST,Normal,"	-9.4","	-1.4","	-16.0","	-21.0","	-2.0","	-2.0","	-21.0","	-2.0",-,-,"	-2.6",/,/,/,"	-6.0",0.0,-,-,"	-17.0","	-2.0",-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-2,53TDX(STND),3(RX1/TX1 PA1 PE RAN VILLA ALEMANA TE 2/0/1),"	-7.9",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.7",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-2,53TDX(STND),4(RX2/TX2 PB OLT-VILLA ALEMANA-1  XG 0/17/0  TO  RECREO),"	-60.0",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-2.8",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-4,17LTX,1(IN1/OUT1 HACIA RECREO VIA LAS VEGAS),"	-13.5",/,/,/,/,/,"	-16.0","	-21.0","	-2.0","	-2.0","	-21.0","	-2.0",-,-,"	-2.4",/,/,/,"	-6.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-4,17LTX,3(RX1/TX1 PB1 OLT1 QUILPUE PCS X LTX S15 RX1/TX1),"	-5.3",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.4",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-4,17LTX,4(RX2/TX2 PB2 OLT1 QUILPUE PCS X LTX S15 RX2/TX2),"	-5.7",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.5",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-4,17LTX,5(RX3/TX3 PB1 OLT2 QUILPUE PCS X LTX S15 RX3/TX3),"	-6.0",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.5",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-4,17LTX,6(RX4/TX4 PB2 OLT2 QUILPUE PCS X LTX S15 RX4/TX4),"	-5.1",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.6",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-4,17LTX,7(RX5/TX5 PB1 OLT3 QUILPUE PCS X LTX S15 RX5/TX5),"	-6.0",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.5",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-4,17LTX,8(RX6/TX6 PB2 OLT3 QUILPUE PCS X LTX S15 RX6/TX6),"	-6.5",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.5",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-4,17LTX,9(RX7/TX7 PB1 OLT-1 V.ALEMANA TG 0/17/1 TO RECREO),"	-7.9",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-2.8",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-4,17LTX,10(RX8/TX8 PB2 OLT-1 V.ALEMANA TG 0/17/1 TO RECREO),"	-8.8",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-2.3",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-4,17LTX,11(RX9/TX9 PB1 OLT-2 V.ALEMANA TG 0/17/0 TO RECREO),"	-8.8",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.7",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-4,17LTX,12(RX10/TX10 PB2 OLT-2 V.ALEMANA TG 0/17/1 TO RECREO),"	-8.8",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.1",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-15,17LTX,1(IN1/OUT1 HACIA QUILPUE PCS),"	-5.2",/,/,/,/,/,"	-16.0","	-21.0","	-2.0","	-2.0","	-21.0","	-2.0",-,-,"	-2.4",/,/,/,"	-6.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-15,17LTX,3(RX1/TX1 PB1 OLT1 QUILPUE PCS X LTX S4 RX1/TX1),"	-6.0",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.4",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-15,17LTX,4(RX2/TX2 PB2 OLT1 QUILPUE PCS X LTX S4 RX2/TX2),"	-7.1",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.1",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-15,17LTX,5(RX3/TX3 PB1 OLT2 QUILPUE PCS X LTX S4 RX3/TX3),"	-6.7",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-3.2",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
VALEMANA-WDM-CM03 ETN1,Shelf0(subrack)-15,17LTX,6(RX4/TX4 PB2 OLT2 QUILPUE PCS X LTX S4 RX4/TX4),"	-6.1",/,/,/,/,/,"	-14.4","	-18.4",0.5,"	-0.5","	-18.4",0.5,-,-,"	-2.8",/,/,/,"	-7.0",0.0,-,-,-,-,-,-
